id,customer_id,restaurant_id,driver_id,order_timestamp,items,item_count,subtotal,delivery_fee,tip,total,estimated_delivery_min,actual_delivery_min,status,cancellation_reason,rating
21,3225,20,16,2024-01-01 13:47:00,BBQ Pulled Pork Sandwich,1,8.45,4.99,0.24,13.68,36,28.0,delivered,,4.0
22,109,22,3,2024-01-01 13:53:30,Pepperoni Pizza Large,1,14.23,4.99,2.31,21.53,44,45.0,delivered,,3.0
23,464,4,2,2024-01-01 14:04:07,"Dragon Roll, BBQ Pulled Pork Sandwich, Green Curry, Butter Chicken",4,40.52,4.99,5.9,51.41,51,55.0,delivered,,5.0
24,7110,92,16,2024-01-01 14:23:22,"10-Piece Wings, Pepperoni Pizza Large, Chicken Burrito Bowl",3,20.94,4.99,5.68,31.61,34,42.0,delivered,,4.0
25,7130,104,10,2024-01-01 14:42:39,Pad Thai,1,11.06,4.99,0.0,16.05,29,33.0,delivered,,5.0
26,1067,27,36,2024-01-01 15:55:26,"Butter Chicken, Chicken Tenders Basket, Lamb Vindaloo, Salmon Roll Combo",4,23.39,4.99,0.08,28.46,30,27.0,delivered,,3.0
27,2312,12,35,2024-01-01 17:06:23,"Acai Bowl, Salmon Roll Combo, Chicken Tenders Basket, Margherita Pizza",4,70.94,4.99,8.34,84.27,28,30.0,delivered,,4.0
28,2576,17,32,2024-01-01 17:13:15,"Classic Cheeseburger, Pad Thai",2,30.85,4.99,6.02,41.86,33,35.0,delivered,,4.0
29,7361,53,4,2024-01-01 17:23:18,"Salmon Roll Combo, Lamb Vindaloo, Chicken Tenders Basket, Chicken Burrito Bowl",4,39.34,4.99,18.34,62.67,20,24.0,delivered,,3.0
30,3416,89,45,2024-01-01 17:24:11,"Brisket Plate, Margherita Pizza",2,36.78,4.99,3.72,45.49,30,30.0,delivered,,4.0
31,3604,3,29,2024-01-01 17:31:58,"Green Curry, Acai Bowl, Kung Pao Chicken, Chicken Burrito Bowl",4,47.55,4.99,10.92,63.46,20,23.0,delivered,,4.0
32,6010,34,42,2024-01-01 17:40:33,"Classic Cheeseburger, Pad Thai",2,21.72,4.99,3.04,29.75,21,20.0,delivered,,3.0
33,2432,32,21,2024-01-01 17:40:47,"Chicken Burrito Bowl, Kung Pao Chicken, Salmon Roll Combo",3,36.59,4.99,3.08,44.66,50,42.0,delivered,,4.0
34,201,114,28,2024-01-01 17:49:34,Classic Cheeseburger,1,10.05,4.99,0.0,15.04,39,37.0,delivered,,5.0
35,7899,9,10,2024-01-01 17:54:43,"Margherita Pizza, Classic Cheeseburger, Chicken Burrito Bowl, 10-Piece Wings",4,50.19,4.99,12.38,67.56,31,34.0,delivered,,3.0
36,29,36,25,2024-01-01 17:57:46,"Classic Cheeseburger, Chicken Burrito Bowl, General Tso's Chicken",3,45.7,4.99,3.86,54.55,41,50.0,delivered,,3.0
37,5192,98,25,2024-01-01 17:57:51,"Kung Pao Chicken, Acai Bowl",2,18.07,4.99,2.14,25.2,32,36.0,delivered,,3.0
38,7138,67,19,2024-01-01 18:00:58,"Acai Bowl, Green Curry",2,37.74,4.99,4.06,46.79,36,34.0,delivered,,4.0
39,819,67,39,2024-01-01 18:08:58,"Classic Cheeseburger, Lamb Vindaloo",2,37.29,4.99,6.26,48.54,40,46.0,delivered,,5.0
40,6743,44,3,2024-01-01 18:22:47,"Caesar Salad, BBQ Pulled Pork Sandwich",2,33.58,4.99,4.26,42.83,24,18.0,delivered,,4.0
41,2448,114,29,2024-01-01 18:22:52,"Fish Tacos, Classic Cheeseburger",2,22.15,4.99,4.52,31.66,36,45.0,delivered,,4.0
42,3124,100,15,2024-01-01 18:38:31,Lamb Vindaloo,1,13.45,4.99,3.59,22.03,43,50.0,delivered,,4.0
43,7935,22,6,2024-01-01 18:50:09,"Caesar Salad, Butter Chicken, Lamb Vindaloo",3,37.82,4.99,5.98,48.79,40,32.0,delivered,,5.0
44,130,13,27,2024-01-01 18:57:47,"Pad Thai, BBQ Pulled Pork Sandwich, Acai Bowl",3,49.72,4.99,4.36,59.07,35,28.0,delivered,,4.0
45,3207,38,5,2024-01-01 19:10:11,"Chicken Burrito Bowl, Dragon Roll, Green Curry, Lamb Vindaloo",4,50.81,4.99,9.37,65.17,27,31.0,delivered,,3.0
46,5742,31,28,2024-01-01 19:25:48,"Chicken Burrito Bowl, Pho Bo, Pad Thai",3,38.16,4.99,8.17,51.32,16,15.0,delivered,,3.0
47,3431,82,9,2024-01-01 19:36:00,"Lamb Vindaloo, Chicken Burrito Bowl, Salmon Roll Combo",3,51.74,4.99,13.52,70.25,56,60.0,delivered,,4.0
48,6113,108,2,2024-01-01 19:55:12,"Pad Thai, Dragon Roll",2,16.13,4.99,2.58,23.7,36,46.0,delivered,,3.0
49,4980,4,13,2024-01-01 20:01:04,"BBQ Pulled Pork Sandwich, Chicken Tenders Basket, Butter Chicken",3,18.06,4.99,4.57,27.62,33,35.0,delivered,,5.0
50,984,35,3,2024-01-01 20:02:37,"Pad Thai, Green Curry, Salmon Roll Combo, Chicken Tenders Basket",4,45.83,4.99,6.78,57.6,36,46.0,delivered,,3.0
51,2346,80,43,2024-01-01 20:03:46,Dragon Roll,1,9.09,4.99,1.63,15.71,30,39.0,delivered,,5.0
52,4686,102,20,2024-01-01 20:36:46,"Green Curry, Fish Tacos, Pho Bo, Caesar Salad",4,43.0,4.99,6.53,54.52,29,31.0,delivered,,4.0
53,325,64,24,2024-01-01 21:35:19,Acai Bowl,1,14.39,4.99,1.29,20.67,37,33.0,delivered,,3.0
54,4388,27,24,2024-01-01 21:47:23,"Chicken Tenders Basket, Butter Chicken",2,17.55,4.99,2.8,25.34,37,36.0,delivered,,5.0
55,4419,56,42,2024-01-01 22:03:55,"Classic Cheeseburger, Lamb Vindaloo, Salmon Roll Combo",3,67.69,4.99,12.16,84.84,57,52.0,delivered,,4.0
56,7449,96,30,2024-01-01 22:28:01,Acai Bowl,1,10.49,4.99,2.99,18.47,31,,cancelled,Item unavailable,
57,6992,53,27,2024-01-02 11:14:26,"BBQ Pulled Pork Sandwich, Pepperoni Pizza Large",2,16.42,4.99,1.7,23.11,32,30.0,delivered,,3.0
58,2693,9,14,2024-01-02 11:25:16,"Caesar Salad, Lamb Vindaloo, Pho Bo",3,36.28,4.99,6.23,47.5,35,41.0,delivered,,4.0
59,7635,100,12,2024-01-02 11:31:01,"Margherita Pizza, Butter Chicken, Brisket Plate",3,62.01,4.99,10.27,77.27,33,43.0,delivered,,3.0
60,4163,30,29,2024-01-02 11:31:33,Lamb Vindaloo,1,8.0,4.99,1.22,14.21,47,54.0,delivered,,4.0
61,4834,68,3,2024-01-02 11:35:51,"Green Curry, Caesar Salad, Brisket Plate, Dragon Roll",4,46.35,4.99,8.5,59.84,34,37.0,delivered,,3.0
62,6414,67,38,2024-01-02 11:42:43,"Caesar Salad, Chicken Tenders Basket, Classic Cheeseburger, Acai Bowl",4,62.62,4.99,19.78,87.39,24,22.0,delivered,,3.0
63,5903,41,40,2024-01-02 12:06:34,"Chicken Burrito Bowl, Chicken Tenders Basket, Caesar Salad, BBQ Pulled Pork Sandwich",4,47.32,4.99,6.18,58.49,31,32.0,delivered,,3.0
64,792,95,14,2024-01-02 12:18:09,"Margherita Pizza, Butter Chicken",2,19.72,4.99,2.37,27.08,27,,cancelled,Customer unreachable at delivery,
65,291,7,45,2024-01-02 12:20:11,10-Piece Wings,1,16.39,4.99,2.26,23.64,54,46.0,delivered,,4.0
66,5172,96,14,2024-01-02 12:27:02,"Kung Pao Chicken, BBQ Pulled Pork Sandwich, Butter Chicken, Caesar Salad",4,38.96,4.99,4.03,47.98,27,27.0,delivered,,3.0
67,4589,106,42,2024-01-02 12:32:33,"Pad Thai, Caesar Salad, Pho Bo",3,26.46,4.99,4.17,35.62,56,67.0,delivered,,4.0
68,1179,30,42,2024-01-02 12:39:10,"Pho Bo, BBQ Pulled Pork Sandwich, Pad Thai",3,31.89,4.99,8.47,45.35,26,33.0,delivered,,4.0
69,4785,33,16,2024-01-02 12:56:46,Caesar Salad,1,11.59,4.99,3.73,20.31,26,26.0,delivered,,3.0
70,7772,109,1,2024-01-02 12:58:23,Kung Pao Chicken,1,8.0,4.99,0.92,13.91,23,26.0,delivered,,4.0
71,2537,46,4,2024-01-02 13:00:39,"BBQ Pulled Pork Sandwich, Brisket Plate",2,13.55,4.99,4.33,22.87,27,25.0,delivered,,4.0
72,1141,55,39,2024-01-02 13:00:47,"Caesar Salad, Lamb Vindaloo",2,16.0,4.99,2.2,23.19,28,27.0,delivered,,5.0
73,394,92,36,2024-01-02 13:06:10,"Chicken Tenders Basket, Pad Thai",2,26.51,4.99,3.78,35.28,49,57.0,delivered,,4.0
74,6581,35,10,2024-01-02 13:23:43,"Fish Tacos, Lamb Vindaloo, Caesar Salad, Brisket Plate",4,46.38,4.99,11.02,62.39,30,25.0,delivered,,4.0
75,194,64,8,2024-01-02 13:28:38,10-Piece Wings,1,19.63,4.99,4.38,29.0,37,41.0,delivered,,4.0
76,5380,47,18,2024-01-02 13:35:25,"Fish Tacos, Margherita Pizza, Chicken Tenders Basket, Classic Cheeseburger",4,35.39,4.99,6.09,46.47,28,28.0,delivered,,3.0
77,1466,13,44,2024-01-02 13:48:42,Pepperoni Pizza Large,1,8.0,4.99,1.9,14.89,28,25.0,delivered,,4.0
78,3438,7,5,2024-01-02 13:53:14,"Margherita Pizza, General Tso's Chicken",2,21.01,4.99,3.99,29.99,28,29.0,delivered,,4.0
79,2715,91,10,2024-01-02 13:56:36,Butter Chicken,1,15.63,4.99,4.54,25.16,36,28.0,delivered,,4.0
80,1256,115,13,2024-01-02 14:10:18,"Pad Thai, Butter Chicken, Chicken Tenders Basket, Acai Bowl",4,36.33,4.99,9.9,51.22,35,39.0,delivered,,4.0
81,2896,38,33,2024-01-02 14:34:26,"BBQ Pulled Pork Sandwich, Butter Chicken",2,13.73,4.99,1.05,19.77,30,35.0,delivered,,4.0
82,5261,92,39,2024-01-02 14:37:01,Acai Bowl,1,11.18,4.99,1.14,17.31,37,35.0,delivered,,3.0
83,5895,2,44,2024-01-02 14:39:58,"Classic Cheeseburger, Caesar Salad, Dragon Roll",3,61.08,4.99,10.37,76.44,46,36.0,delivered,,4.0
84,2874,16,13,2024-01-02 14:50:24,"Classic Cheeseburger, Green Curry, Brisket Plate, Lamb Vindaloo",4,56.07,4.99,17.65,78.71,49,53.0,delivered,,2.0
85,5025,70,43,2024-01-02 15:01:03,"Classic Cheeseburger, Pad Thai",2,12.33,4.99,2.17,19.49,41,38.0,delivered,,4.0
86,592,52,21,2024-01-02 15:42:24,"Chicken Burrito Bowl, BBQ Pulled Pork Sandwich, Caesar Salad",3,32.51,4.99,10.73,48.23,41,53.0,delivered,,3.0
87,3819,50,2,2024-01-02 15:54:56,"Chicken Burrito Bowl, Butter Chicken, Lamb Vindaloo",3,53.67,4.99,12.16,70.82,29,30.0,delivered,,3.0
88,3265,91,12,2024-01-02 17:21:22,"Chicken Burrito Bowl, Pad Thai",2,56.2,4.99,9.18,70.37,38,48.0,delivered,,4.0
89,495,58,35,2024-01-02 17:21:51,"Chicken Tenders Basket, Pad Thai, 10-Piece Wings",3,49.33,4.99,9.71,64.03,25,33.0,delivered,,4.0
90,5288,74,42,2024-01-02 17:27:46,"Caesar Salad, Brisket Plate",2,36.57,4.99,7.95,49.51,52,58.0,delivered,,3.0
91,3136,91,17,2024-01-02 17:41:12,"Pho Bo, Acai Bowl",2,53.71,4.99,12.49,71.19,51,48.0,delivered,,4.0
92,6576,6,32,2024-01-02 17:42:39,Kung Pao Chicken,1,15.7,4.99,4.94,25.63,29,31.0,delivered,,3.0
93,5282,40,43,2024-01-02 17:56:22,Pho Bo,1,8.0,4.99,2.12,15.11,34,35.0,delivered,,3.0
94,7761,34,5,2024-01-02 17:57:18,"Chicken Burrito Bowl, 10-Piece Wings, BBQ Pulled Pork Sandwich",3,26.54,4.99,8.28,39.81,18,19.0,delivered,,5.0
95,6020,20,43,2024-01-02 18:03:28,"Dragon Roll, Acai Bowl, Caesar Salad",3,48.1,4.99,6.46,59.55,22,20.0,delivered,,5.0
96,2109,23,21,2024-01-02 18:13:37,"Margherita Pizza, Pepperoni Pizza Large",2,33.27,4.99,5.97,44.23,43,53.0,delivered,,4.0
97,895,92,36,2024-01-02 18:15:31,"BBQ Pulled Pork Sandwich, Pho Bo",2,33.39,4.99,4.51,42.89,33,38.0,delivered,,2.0
98,993,77,3,2024-01-02 18:21:35,"10-Piece Wings, Pho Bo, BBQ Pulled Pork Sandwich, Dragon Roll",4,54.64,4.99,13.41,73.04,54,53.0,delivered,,3.0
99,7176,75,36,2024-01-02 18:28:43,"Fish Tacos, 10-Piece Wings, Lamb Vindaloo, Pho Bo",4,40.39,4.99,15.48,60.86,41,40.0,delivered,,4.0
100,2257,93,33,2024-01-02 18:30:07,"10-Piece Wings, Butter Chicken, Margherita Pizza, Chicken Burrito Bowl",4,55.33,4.99,13.01,73.33,41,49.0,delivered,,4.0
101,5778,67,41,2024-01-02 18:31:55,"Pad Thai, Chicken Tenders Basket, Lamb Vindaloo",3,47.04,4.99,0.56,52.59,53,48.0,delivered,,3.0
102,5548,49,36,2024-01-02 18:39:47,"10-Piece Wings, Pho Bo",2,17.57,4.99,2.74,25.3,20,18.0,delivered,,3.0
103,4357,43,24,2024-01-02 18:45:23,"Acai Bowl, Chicken Tenders Basket, Pho Bo",3,26.44,4.99,7.24,38.67,50,47.0,delivered,,3.0
104,2568,26,21,2024-01-02 18:45:45,Brisket Plate,1,10.0,4.99,3.23,18.22,39,36.0,delivered,,4.0
105,7761,28,26,2024-01-02 18:47:01,"Chicken Tenders Basket, Kung Pao Chicken",2,15.49,4.99,3.09,23.57,38,31.0,delivered,,5.0
106,1081,84,14,2024-01-02 19:01:58,"Salmon Roll Combo, Butter Chicken",2,43.77,4.99,10.65,59.41,36,32.0,delivered,,3.0
107,5390,31,21,2024-01-02 19:04:26,"Pepperoni Pizza Large, Chicken Tenders Basket, BBQ Pulled Pork Sandwich, Caesar Salad",4,53.88,4.99,4.02,62.89,43,44.0,delivered,,5.0
108,7970,22,1,2024-01-02 19:08:52,"Acai Bowl, Brisket Plate, Salmon Roll Combo",3,39.52,4.99,5.46,49.97,35,30.0,delivered,,3.0
109,3376,89,14,2024-01-02 19:11:17,"Acai Bowl, Salmon Roll Combo",2,30.18,4.99,7.04,42.21,31,33.0,delivered,,3.0
110,6454,45,12,2024-01-02 19:19:24,"Margherita Pizza, Chicken Burrito Bowl",2,25.3,4.99,6.85,37.14,37,45.0,delivered,,3.0
111,2026,110,18,2024-01-02 19:32:17,"Acai Bowl, Lamb Vindaloo, Green Curry, Dragon Roll",4,33.85,4.99,5.13,43.97,34,31.0,delivered,,5.0
112,6561,17,9,2024-01-02 19:33:09,"Lamb Vindaloo, General Tso's Chicken",2,24.7,4.99,4.48,34.17,36,38.0,delivered,,5.0
113,1556,91,32,2024-01-02 19:42:12,"Acai Bowl, Salmon Roll Combo, Kung Pao Chicken, General Tso's Chicken",4,112.19,4.99,27.38,144.56,32,24.0,delivered,,4.0
114,1378,70,27,2024-01-02 19:44:04,"Pad Thai, Chicken Tenders Basket, Chicken Burrito Bowl, Pho Bo",4,55.76,4.99,5.28,66.03,35,35.0,delivered,,3.0
115,742,13,45,2024-01-02 19:54:01,"Brisket Plate, Acai Bowl",2,23.78,4.99,2.83,31.6,58,68.0,delivered,,3.0
116,529,111,18,2024-01-02 19:55:03,General Tso's Chicken,1,11.6,4.99,2.06,18.65,30,26.0,delivered,,3.0
117,6159,19,8,2024-01-02 20:02:27,"Margherita Pizza, Dragon Roll, Chicken Burrito Bowl",3,31.63,4.99,4.29,40.91,33,,cancelled,Item unavailable,
118,6043,4,6,2024-01-02 20:13:25,"Butter Chicken, Pho Bo",2,24.48,4.99,0.84,30.31,34,35.0,delivered,,3.0
119,1920,44,30,2024-01-02 20:41:22,Lamb Vindaloo,1,15.73,4.99,1.29,22.01,51,56.0,delivered,,2.0
120,6698,38,39,2024-01-02 20:42:30,"Salmon Roll Combo, Kung Pao Chicken",2,20.0,4.99,3.45,28.44,35,42.0,delivered,,3.0
121,2850,96,10,2024-01-02 20:47:30,Acai Bowl,1,10.31,4.99,2.88,18.18,27,22.0,delivered,,2.0
122,6854,41,41,2024-01-02 21:04:33,"Acai Bowl, Dragon Roll, Chicken Burrito Bowl",3,27.99,4.99,5.84,38.82,33,35.0,delivered,,4.0
123,1215,105,42,2024-01-02 21:07:39,"Margherita Pizza, BBQ Pulled Pork Sandwich",2,16.94,4.99,2.69,24.62,30,27.0,delivered,,4.0
124,4615,20,15,2024-01-02 21:14:51,"Green Curry, Butter Chicken",2,19.79,4.99,0.79,25.57,45,60.0,delivered,,5.0
125,5411,84,13,2024-01-02 21:36:21,"Lamb Vindaloo, Kung Pao Chicken",2,24.03,4.99,6.0,35.02,37,40.0,delivered,,2.0
126,1116,54,35,2024-01-02 21:41:10,"Pho Bo, Chicken Tenders Basket",2,15.09,4.99,5.19,25.27,38,33.0,delivered,,3.0
127,6736,116,9,2024-01-02 21:44:31,"Brisket Plate, Butter Chicken",2,16.3,4.99,2.78,24.07,43,35.0,delivered,,3.0
128,1300,14,8,2024-01-02 21:48:01,"Kung Pao Chicken, Dragon Roll",2,29.67,4.99,1.46,36.12,18,18.0,delivered,,4.0
129,1682,80,4,2024-01-02 21:51:10,General Tso's Chicken,1,11.86,4.99,2.66,19.51,27,25.0,delivered,,3.0
130,6359,85,26,2024-01-02 21:53:57,"Pho Bo, Butter Chicken",2,33.49,4.99,5.13,43.61,35,42.0,delivered,,4.0
131,4355,47,43,2024-01-02 22:24:26,"Salmon Roll Combo, Brisket Plate, Pepperoni Pizza Large",3,33.08,4.99,4.55,42.62,34,30.0,delivered,,4.0
132,878,85,19,2024-01-02 22:44:01,"Margherita Pizza, Pepperoni Pizza Large",2,32.12,4.99,3.94,41.05,38,44.0,delivered,,4.0
133,6207,79,44,2024-01-03 11:10:14,Pad Thai,1,13.69,4.99,1.86,20.54,24,16.0,delivered,,2.0
134,4951,88,12,2024-01-03 11:18:53,"Dragon Roll, Green Curry, 10-Piece Wings, Brisket Plate",4,70.3,4.99,12.16,87.45,29,28.0,delivered,,4.0
135,7473,78,30,2024-01-03 11:19:38,Classic Cheeseburger,1,16.07,4.99,1.48,22.54,41,50.0,delivered,,4.0
136,1582,75,41,2024-01-03 11:21:53,"Pad Thai, Lamb Vindaloo, Chicken Burrito Bowl, Fish Tacos",4,52.5,4.99,10.36,67.85,34,40.0,delivered,,4.0
137,5946,7,10,2024-01-03 11:44:46,"Brisket Plate, Classic Cheeseburger, Caesar Salad, Acai Bowl",4,59.99,4.99,14.41,79.39,15,18.0,delivered,,3.0
138,1179,63,20,2024-01-03 11:51:41,"Acai Bowl, Kung Pao Chicken, 10-Piece Wings, Pad Thai",4,69.89,4.99,22.98,97.86,33,39.0,delivered,,4.0
139,4628,17,37,2024-01-03 11:58:08,"Dragon Roll, General Tso's Chicken, Chicken Tenders Basket, Green Curry",4,57.41,4.99,12.96,75.36,39,40.0,delivered,,4.0
140,1447,24,6,2024-01-03 12:04:37,"Chicken Burrito Bowl, Acai Bowl",2,21.03,4.99,0.73,26.75,46,46.0,delivered,,4.0
141,1995,107,2,2024-01-03 12:08:20,Caesar Salad,1,10.91,4.99,3.1,19.0,27,30.0,delivered,,3.0
142,3656,96,29,2024-01-03 12:10:37,"Green Curry, Kung Pao Chicken, Butter Chicken",3,28.33,4.99,2.06,35.38,55,62.0,delivered,,4.0
143,7373,40,11,2024-01-03 12:16:26,"General Tso's Chicken, Caesar Salad, Kung Pao Chicken",3,42.69,4.99,2.04,49.72,24,25.0,delivered,,4.0
144,5402,102,22,2024-01-03 12:40:09,"Chicken Burrito Bowl, Chicken Tenders Basket, Kung Pao Chicken, Lamb Vindaloo",4,64.93,4.99,4.32,74.24,29,27.0,delivered,,5.0
145,3183,5,30,2024-01-03 12:44:58,10-Piece Wings,1,14.88,4.99,2.73,22.6,42,37.0,delivered,,4.0
146,743,59,20,2024-01-03 12:52:43,Pepperoni Pizza Large,1,11.49,4.99,2.71,19.19,47,47.0,delivered,,4.0
147,6412,66,36,2024-01-03 12:58:16,"Classic Cheeseburger, Acai Bowl, Dragon Roll, Brisket Plate",4,33.36,4.99,7.23,45.58,27,36.0,delivered,,3.0
148,4640,73,19,2024-01-03 12:59:38,"Lamb Vindaloo, Caesar Salad",2,24.56,4.99,5.59,35.14,32,36.0,delivered,,2.0
149,1525,70,19,2024-01-03 13:03:56,"Classic Cheeseburger, Pho Bo, Caesar Salad",3,47.51,4.99,8.95,61.45,38,39.0,delivered,,4.0
150,5152,91,19,2024-01-03 13:08:30,"Acai Bowl, Chicken Tenders Basket",2,51.7,4.99,12.37,69.06,39,50.0,delivered,,4.0
151,6371,19,3,2024-01-03 13:23:05,"Fish Tacos, Kung Pao Chicken, Green Curry, Chicken Tenders Basket",4,60.02,4.99,10.41,75.42,36,41.0,delivered,,4.0
152,3217,39,23,2024-01-03 13:33:29,Green Curry,1,8.0,4.99,0.45,13.44,25,29.0,delivered,,4.0
153,3708,116,42,2024-01-03 13:37:23,Chicken Burrito Bowl,1,8.0,4.99,1.84,14.83,42,40.0,delivered,,4.0
154,3316,38,36,2024-01-03 13:38:21,"Salmon Roll Combo, Fish Tacos, Chicken Burrito Bowl",3,24.85,4.99,4.72,34.56,47,47.0,delivered,,4.0
155,1712,83,13,2024-01-03 13:42:36,"Pho Bo, Fish Tacos, Salmon Roll Combo, Chicken Burrito Bowl",4,70.08,4.99,5.87,80.94,26,23.0,delivered,,4.0
156,2726,20,2,2024-01-03 14:15:29,"Chicken Tenders Basket, Acai Bowl, Chicken Burrito Bowl",3,44.51,4.99,9.15,58.65,60,52.0,delivered,,3.0
157,1954,21,36,2024-01-03 14:27:35,"Green Curry, Fish Tacos, Salmon Roll Combo",3,61.58,4.99,15.72,82.29,30,35.0,delivered,,4.0
158,5042,11,33,2024-01-03 14:46:19,"Chicken Burrito Bowl, Classic Cheeseburger",2,31.2,4.99,4.77,40.96,34,38.0,delivered,,3.0
159,5224,74,16,2024-01-03 14:49:50,"Lamb Vindaloo, Kung Pao Chicken, Green Curry, BBQ Pulled Pork Sandwich",4,54.73,4.99,1.3,61.02,27,22.0,delivered,,3.0
160,3571,109,43,2024-01-03 15:02:24,"Butter Chicken, Salmon Roll Combo, Dragon Roll",3,20.02,4.99,3.0,28.01,46,58.0,delivered,,3.0
161,6463,17,24,2024-01-03 15:17:15,"Green Curry, Fish Tacos, Butter Chicken",3,53.89,4.99,4.86,63.74,37,38.0,delivered,,3.0
162,7377,29,29,2024-01-03 16:14:10,Classic Cheeseburger,1,8.07,4.99,0.0,13.06,22,27.0,delivered,,4.0
163,3071,46,42,2024-01-03 16:24:55,"Chicken Burrito Bowl, BBQ Pulled Pork Sandwich, Pepperoni Pizza Large, Pad Thai",4,37.72,4.99,16.96,59.67,15,15.0,delivered,,4.0
164,4188,105,26,2024-01-03 16:28:30,"Pho Bo, Brisket Plate, Fish Tacos",3,29.67,4.99,4.11,38.77,66,52.0,delivered,,4.0
165,341,72,25,2024-01-03 17:09:28,"Green Curry, BBQ Pulled Pork Sandwich",2,20.77,4.99,0.55,26.31,27,23.0,delivered,,4.0
166,4209,11,22,2024-01-03 17:16:27,"Green Curry, Brisket Plate, Dragon Roll",3,51.85,4.99,1.76,58.6,25,25.0,delivered,,3.0
167,6838,37,23,2024-01-03 17:17:48,Pad Thai,1,10.45,4.99,1.66,17.1,28,29.0,delivered,,3.0
168,2240,13,7,2024-01-03 17:18:20,"Acai Bowl, Caesar Salad",2,24.22,4.99,2.34,31.55,33,26.0,delivered,,4.0
169,851,114,10,2024-01-03 17:22:48,"Pho Bo, Kung Pao Chicken, Green Curry, Chicken Tenders Basket",4,32.51,4.99,8.2,45.7,30,29.0,delivered,,5.0
170,5430,51,23,2024-01-03 17:36:25,"Pad Thai, Caesar Salad, General Tso's Chicken, Margherita Pizza",4,81.5,4.99,15.83,102.32,36,36.0,delivered,,3.0
171,1068,44,28,2024-01-03 17:39:49,"Kung Pao Chicken, Pepperoni Pizza Large, Pho Bo, Classic Cheeseburger",4,48.07,4.99,10.83,63.89,32,32.0,delivered,,5.0
